-2868,2302,15568,-127,423,-236,
-3284,802,15284,-178,-339,-290,
-934,-794,13408,-455,-199,117,
4972,-1188,3404,-2537,202,108,
17966,5462,25570,-1927,-3608,-1838,
15002,7080,32767,-85,608,-5900,
-7404,-10382,32767,3565,383,-6446,
-17854,-16702,32404,6204,3608,-3758,
-18948,-17160,8112,6481,4007,69,
-16656,-8372,-8890,4101,5251,3758,
-7430,-2088,-14310,-462,2842,5998,
1290,-3660,-12384,-3396,72,6227,
11118,-4896,-5358,-4944,-2537,5097,
19212,-5388,11092,-4324,-4568,3478,
25538,6262,32648,-4401,-2130,873,
15364,6024,27168,-4429,2036,-2167,
6812,2580,26040,-3328,1614,-3787,
-2942,796,19998,-1076,718,-4260,
-5790,-2316,25802,-221,-1221,-3423,
-4456,-5328,22374,110,955,-1364,

-2942,796,19998,-1076,718,-4260,
-5790,-2316,25802,-221,-1221,-3423,
-4456,-5328,22374,110,955,-1364,
13862,4994,24222,-1005,28,-1571,
10692,2180,27870,-237,2255,-3945,
800,1018,32767,612,802,-5782,
-18642,-22970,32767,5466,2168,-4480,
-18520,-27512,26190,9326,5158,-230,
-8624,-16788,-9764,5346,9220,5182,
-2290,-3190,-19914,336,4130,6291,
5696,-410,-17754,-4228,320,6396,
16798,-2968,-3864,-6334,-4209,4682,
24658,1820,18664,-6664,-5922,2015,
19934,7788,32767,-6271,-1652,-1622,
8368,2016,30122,-4516,182,-4289,
-1244,-3718,29876,-1616,-567,-4660,
-4178,-8192,28046,-320,30,-3334,
-3808,-6476,22310,188,1536,-1056,
-2194,-2680,15276,562,1875,-105,
-1852,-1384,13326,463,899,247,

-202,-1186,16904,-77,-59,26,
-116,-1032,16564,-90,-49,73,
1426,-1602,16370,-1,-66,145,
13774,6464,22668,-1241,-430,-488,
16366,10022,31908,848,1331,-6418,
-7782,-15412,32767,3769,736,-6612,
-14840,-26020,32767,7438,4755,-2837,
-11402,-19948,5152,6605,9142,2579,
-6846,-6994,-16640,1862,5918,6295,
1554,-1308,-16548,-2164,1551,7414,
9556,-880,-11330,-5533,-2168,5670,
18494,1290,9344,-5823,-4724,3588,
21292,5618,28204,-5980,-3417,1363,
11592,3754,29318,-4919,1172,-2408,
2202,-1596,27284,-3540,350,-3031,
-604,-1640,23496,-1538,622,-2852,
-3278,-5504,23856,-452,-343,-1988,
-3078,-4418,19992,358,1523,-547,
-2952,-2412,15208,385,1252,-71,
-1586,-1542,14764,275,588,187,

-3078,-4418,19992,358,1523,-547,
-2952,-2412,15208,385,1252,-71,
-1586,-1542,14764,275,588,187,
11630,-7536,10930,-1683,-799,3179,
21410,9386,27682,-922,153,-2603,
6058,1400,32767,-733,538,-6231,
-15380,-18210,32767,5041,516,-5539,
-17374,-14730,21720,7578,3975,-2487,
-13056,-12928,5694,6253,6196,828,
-8948,-6258,-9816,3022,5603,3598,
-2656,-3372,-13356,-1036,1756,5649,
7112,-1466,-6048,-4394,19,5513,
14690,-2844,3820,-5850,-2821,4301,
19062,3020,22308,-5452,-3126,1500,
15216,5404,29766,-6044,349,-1668,
4664,-2046,27128,-3884,1332,-3647,
-1654,-5084,22882,-697,-837,-3977,
-3278,-4718,29748,-172,-145,-2457,
-2062,-2228,23346,89,1736,-911,
-3012,-3820,14990,394,1228,-467,

-198,-1092,16302,-74,-115,75,
438,-1372,16116,-215,-120,24,
4014,-2592,16040,-661,-20,70,
14448,570,22328,-2328,685,-656,
15002,5960,32767,-332,4010,-4667,
-8968,-14116,32767,6039,5801,-5841,
-26424,-28958,24780,9904,5268,-1066,
-17592,-14896,-810,7783,7212,3361,
-8886,-4112,-13974,2831,3866,6244,
-674,1820,-13640,-2006,762,6114,
6092,-428,-6586,-5171,-1623,5363,
10184,-3070,2906,-6966,-2088,4068,
13640,1078,13364,-7627,-2808,1480,
13092,1170,25534,-6559,-2580,-1260,
7344,-916,32767,-3963,-153,-3635,
446,-950,26526,-2472,-217,-4029,
-1696,-7160,26278,-1143,-1376,-3415,
-1570,-6312,27090,339,1294,-1798,
-3108,-5844,16004,96,2309,-489,
-2520,-5612,10902,-722,357,346,

-690,-2996,16512,155,-95,267,
-452,-3386,16416,265,-13,518,
3446,-4146,15376,476,251,754,
12796,1314,15288,-530,35,1120,
21532,10508,21546,-549,-1794,-3170,
11528,2252,32767,-987,1882,-7213,
-21854,-27524,32767,3722,1599,-6312,
-26778,-26154,24678,5899,4030,410,
-15286,-14042,-1494,3973,5047,4486,
-6970,-7698,-9786,1143,2168,6081,
3424,-3380,-5022,-1841,-152,6258,
13246,-4466,-1150,-3033,-944,4715,
19700,18,8058,-3934,-2300,3085,
22032,5756,21910,-3746,-2443,1437,
15646,1922,27812,-4697,656,-1978,
6664,-336,24800,-3804,781,-4244,
-644,-9030,27742,-400,-1319,-4190,
-3652,-8016,25150,239,1285,-2841,
-5488,-6874,17500,933,1266,-1196,
-2468,-3742,15408,613,1303,-304,

-522,-2332,15536,-91,-148,24,
-238,-1740,16356,-93,-296,42,
2536,-3698,17626,-69,-361,207,
8388,-2948,15846,-1053,874,702,
17284,10912,22120,-3365,-804,-1938,
10364,7108,32767,3749,-3701,-9626,
-6436,-30022,32767,7559,1311,-8407,
-14282,-27308,16958,6502,7715,-1833,
-10492,-15844,-3480,3520,7009,4280,
-2504,-8022,-13092,371,3712,7176,
9626,-2520,-6820,-3686,1747,8044,
17522,-2242,848,-5780,-1677,6467,
20098,1514,15818,-5100,-2073,3177,
17108,7118,27586,-6184,527,-369,
11794,2092,30272,-3758,1431,-3353,
456,-4264,25512,263,273,-5582,
-3574,-6438,27230,-505,1107,-3458,
-6410,-4404,18284,-384,425,-2040,
-4988,-4210,16560,474,463,-1081,
-2714,-2648,16088,-144,827,10,

-294,-1376,15488,-102,56,42,
-82,-2338,15626,-242,-229,-30,
5356,-5556,16696,-1147,40,239,
11870,120,18694,-3239,1110,-228,
12592,5648,32767,-1675,2731,-4340,
-5912,-15500,32767,4086,2272,-7013,
-21832,-30390,32670,8984,1551,-3803,
-16862,-20614,14382,8012,5967,1318,
-9500,-10300,-11176,4027,7624,5708,
-2522,-62,-16954,-1186,2736,6982,
6010,106,-13588,-5341,-100,5982,
15558,-5202,-762,-7387,-3692,4200,
21582,-868,26682,-7379,-4135,1352,
13616,-1312,31950,-4538,-112,-1417,
4818,-818,32767,-3850,975,-2928,
-322,-7472,23000,34,-370,-4265,
-4126,-6850,28380,165,-808,-2859,
-4712,-6942,20634,44,1827,-1101,
-4192,-2238,14176,533,704,-647,
-2770,-3184,15038,15,192,-211,

-470,-2042,15772,-271,-102,0,
-424,-3066,15876,-306,-206,-104,
2844,-3842,15654,-989,-315,291,
14078,3196,22418,-2156,775,-990,
13904,6638,26336,136,2581,-5282,
-4620,-12298,30820,1854,1988,-6923,
-21300,-30478,32767,6712,140,-2657,
-13792,-19124,22020,7061,5620,1271,
-8106,-12104,-36,4659,7412,5088,
-3374,-3784,-11614,885,4255,6516,
4032,380,-9096,-2983,731,6470,
12500,-2860,-3422,-4651,-1609,5156,
