1448,-38,16828,68,252,-42,
1376,-208,16454,-17,818,50,
1312,-726,18506,-543,1137,-31,
-1126,-7968,19548,-4158,1783,-560,
68,-31960,6608,-3462,-2190,1415,
7504,-13330,17216,2921,-786,2142,
720,-3484,10734,2652,-1,1505,
-2676,15868,16700,24,166,143,
696,22690,18306,1734,256,114,
2020,12196,17342,644,28,-832,
-1226,1694,16646,786,-939,-1178,
-1360,-4202,19910,763,78,238,
-72,302,14430,-300,774,1415,
1588,2170,16322,-398,-285,349,
1674,-618,17962,-146,-8,-194,
190,-1820,16840,-232,42,-157,
-186,720,14994,-190,135,-405,
-208,-1634,17374,-205,-133,-218,
210,-1336,18098,100,133,146,
750,-500,16686,117,62,9,

1698,10,17170,-16,149,-102,
1542,-1460,16028,17,413,75,
2644,-902,18162,46,-21,118,
180,-7956,21982,-1294,715,237,
228,-16686,14880,457,-479,823,
6730,-21800,18994,-70,717,-715,
3054,-5874,8736,-1743,1207,2911,
-2290,14388,14262,-3060,149,2384,
-1010,31080,25474,2023,1891,254,
-492,9090,8150,1257,-221,-2344,
-2332,124,21144,893,-1824,-1934,
-2254,-7058,21736,88,-63,373,
-1512,-598,15540,270,1013,1466,
678,1716,15330,-105,-224,533,
694,-254,17576,124,-45,-63,
-380,-1896,17532,128,305,-3,
-418,-248,16846,-54,266,134,
-450,218,16704,99,156,-135,
-854,64,16742,21,83,-89,
-1138,-624,16798,11,-186,-2,

1538,-1334,17218,-50,294,-23,
2380,-3138,18844,-202,1092,62,
1718,-6994,18262,-462,2188,626,
1020,-14548,13596,-4297,1704,1037,
1612,-26184,10344,-253,-2662,1467,
3078,-13978,16694,3013,-1563,3457,
-248,9022,17274,2589,2628,2798,
1308,18904,10518,126,2533,2530,
2050,26780,14666,814,317,-2122,
-694,8568,16026,348,-2374,-3202,
-2288,-2126,20468,-245,-606,-1962,
-3330,-3636,17802,-395,366,72,
-1740,-774,17030,-269,480,741,
-438,496,16276,-174,-177,16,
-792,-996,17712,249,-218,-363,
-1468,-2276,16956,153,-144,-182,
-1134,-150,16386,64,185,62,
-1224,1068,16252,112,-98,-349,
-1496,536,17268,-26,13,-241,
-1642,-210,16724,36,-8,24,

896,-3602,17200,-12,137,5,
1900,-4060,17406,12,622,191,
1972,-3720,17416,463,1526,-230,
-2488,-10716,18116,-77,1218,-213,
104,-20464,15160,-1337,835,716,
5076,-22010,10918,-1746,-649,2355,
3440,-7332,11286,-2232,-557,4166,
-1248,10178,20072,-2004,939,1741,
-4870,15212,19234,682,894,40,
-2036,8320,22226,2297,-690,-1068,
-1102,2456,21112,1263,181,-933,
-2032,-2622,13976,1222,65,-1291,
-3214,-5464,16506,40,-384,-444,
-2390,-3786,16442,-278,246,731,
-1008,-2204,17610,-198,482,454,
-2308,-2564,15212,32,270,-527,
-2566,-5100,16748,255,-1,-136,
-2930,-3160,15990,72,36,-41,
-2716,-3200,16128,157,-198,21,
-2334,-2876,15692,101,-163,-3,

566,-3976,16284,-16,-38,-66,
276,-4198,16076,-39,253,-90,
162,-4888,16562,7,600,19,
-746,-9002,17872,-147,1653,531,
-1140,-15598,17412,514,2030,1872,
798,-21822,11980,-1773,19,1883,
5076,-27904,3412,1338,-4769,2184,
1188,-2152,14684,5334,-2952,2677,
-1720,21572,16668,1382,2179,2236,
3810,29490,10494,1077,1531,-563,
1144,13558,16496,-107,-1179,-2615,
-1858,3232,19760,344,989,-1138,
-3584,-940,14954,-652,120,53,
-1056,16,17608,-741,-7,912,
-582,440,17126,-485,-43,298,
-546,-2562,18050,74,-698,-382,
-1010,-1952,16762,-10,212,-39,
-1092,-56,15526,-99,194,-18,
-1264,-318,15518,-381,-167,-306,
-350,-992,18690,-133,-159,-439,

352,-3152,16452,-86,-56,-137,
510,-3864,16840,27,158,3,
1406,-5148,17584,41,664,-17,
510,-13096,19870,-1435,977,192,
1654,-28234,11234,-782,-336,1737,
5362,-24918,8196,2118,-1366,2941,
2270,-6134,9730,1263,-951,3492,
-4596,20044,15564,-754,-465,1838,
6656,21192,25016,767,444,-878,
5620,24004,16342,-1701,2944,-1555,
-1860,-6976,17304,1349,-1403,-4553,
-4042,-10200,20104,-146,-123,-90,
-1834,-3286,15654,-154,496,1707,
1190,-812,15238,-189,-599,834,
1060,-2504,17560,232,-99,-176,
-246,-3352,16546,160,118,-309,
-522,-2106,16158,64,63,-117,
-158,-2500,16744,-17,78,-127,
-118,-2452,16946,-5,92,-186,
-256,-2738,16696,-28,-8,-226,

124,-614,16480,-31,298,-71,
-84,-1900,16574,37,753,-2,
134,-6740,20364,401,927,296,
-932,-18510,15974,-1461,610,1762,
-1024,-32254,3348,-1448,-3109,1867,
1818,-12770,14444,876,-2205,2246,
-370,6186,13768,-1527,-1183,338,
3190,25534,25700,-936,1682,-1229,
16260,29036,25816,2390,4160,-969,
-7362,3230,6156,1349,-1634,-4714,
-1912,-5400,25080,763,-2142,-1004,
82,-1496,16936,-237,1389,1486,
2618,3208,14046,83,-369,444,
1748,-528,17706,62,-169,6,
1184,-1494,17424,108,317,269,
708,-1172,16788,153,209,268,
1272,-980,17084,242,-23,-202,
252,-970,15630,46,331,-131,
370,-482,16552,-93,-76,-102,
738,-834,17340,-209,137,-52,

258,-1990,17366,-93,64,-37,
268,-1932,16834,-8,-34,9,
1416,-3376,17824,-27,388,-58,
1640,-7032,20504,597,1325,303,
-990,-10312,17614,-480,1366,4,
-1366,-17714,6574,-1215,-1574,-2499,
5508,-20168,22568,2002,-1075,816,
264,-608,9286,-424,1663,1798,
-7222,17322,12116,-1973,-406,897,
12136,26510,32232,-530,-42,4839,
2848,16296,10358,1107,1533,-4362,
-5850,-6232,16622,1019,-3055,-2740,
-986,-5178,23850,-105,64,752,
1150,1372,14210,-370,1298,1127,
1448,1608,14170,-148,-723,-155,
926,-3526,18374,11,-444,-387,
92,-2654,15378,-359,757,-42,
-376,-964,14946,-257,224,-269,


1472,-72,18372,-79,-109,-195,
700,-488,16386,-7,69,-121,
564,-1244,16252,60,399,-109,
236,-7884,18912,163,981,-509,
1810,-14186,14634,-3450,1266,273,
5222,-21696,16822,110,-2447,1380,
1610,-11118,12412,8,-161,1635,
-2536,6090,16974,-814,1190,1580,
7438,30582,24678,-1231,6497,2008,
-2850,13578,12672,2381,-2062,-3612,
-6100,-526,21510,1034,-484,-1290,
-2470,-42,17540,370,-357,154,
-1766,1014,14244,-761,191,650,
130,750,17266,-111,-701,-41,
-818,-2692,17528,-267,-310,-69,
-332,-2038,17276,63,-138,9,
-788,-268,15814,-40,316,-59,
-750,-1700,16456,-321,-10,-176,
-800,-1930,16716,-193,226,-227,
-1064,-1998,17400,55,142,-21,
690,-2208,16828,-450,253,-33,
298,-992,16452,-273,305,-340,

844,-492,16954,60,278,-17,
1078,-2422,17256,143,501,110,
480,-6826,17380,-440,908,286,
-350,-14254,15620,-2439,124,652,
1918,-23420,11374,-613,-2182,629,
2202,-7154,17492,214,-621,1684,
18,9644,15980,1291,565,1758,
2234,16274,18366,114,275,1766,
5834,21576,24358,964,1601,-2017,
-1652,2412,16006,129,564,-863,
-2338,402,15388,-195,-631,-649,
-926,-1324,19458,-630,-6,796,
470,1554,15498,-435,-154,106,
16,-1898,18264,-227,-437,94,
452,-668,17584,-180,169,266,
498,-766,15208,-134,-109,-287,
532,-1148,17818,-168,62,-142,
76,-1002,15990,-149,296,-256,
-132,-1122,16714,-101,-28,-79,
176,-858,16828,-218,-69,-68,

780,-1118,18018,29,235,-106,
110,-1594,16532,160,111,-16,
858,-4180,16708,207,317,116,
-682,-8418,19538,271,236,122,
976,-13308,18326,1310,-55,-137,
6594,-20414,9612,505,-2562,-2351,
7082,-11784,16204,858,-921,80,
-1928,-1804,11604,-819,1125,1612,
-5578,30910,15516,-2028,2973,-510,
-220,23974,17352,-615,2111,-1411,
-6802,-1968,15214,362,-2119,-1440,
-958,-4268,23834,-248,-955,802,
696,2764,16400,117,1499,577,
-1216,-390,12986,134,-512,52,
-1278,-3632,16944,24,-350,396,
1164,-622,18112,564,-25,164,
-454,-996,15096,-61,545,-166,
-1362,-1046,15924,57,183,12,
-422,-202,16608,-420,3,11,
-660,-1652,17086,-11,-127,-40,

2114,-1020,17074,-3,154,-44,
1060,-2102,15828,-41,94,-85,
1162,-4358,16576,148,152,90,
318,-10190,20400,1136,-341,523,
6346,-16650,16496,-4058,1578,-821,
4792,-32754,3690,-4449,-1934,3049,
5544,-11828,13392,1496,-1172,2968,
-2282,4996,10402,-1014,-114,2456,
-248,18174,30460,-429,-569,2145,
13000,23786,30478,-11,5352,3471,
-4560,-2648,5020,2351,-562,-5011,
-1660,-10130,22950,520,-1820,-1929,
-1546,-6212,15708,-172,526,211,
38,-3320,13508,-15,-484,14,
506,-3732,16732,232,-3,-282,
232,-5236,15928,477,-41,-606,
-804,-5902,15352,54,234,-207,
-604,-3708,16712,-70,267,-138,
-200,-4294,16426,-21,217,56,
-458,-4220,16450,166,44,-29,

3048,-210,18006,31,201,-104,
2238,-3264,17652,-161,448,-159,
3200,-6690,18490,-53,699,386,
2918,-12876,20652,-1552,3019,1572,
-1016,-18868,7576,-2588,862,700,
2008,-23566,9674,373,-3718,1872,
1714,-574,15962,-684,-1050,534,
2160,17870,31964,46,2942,2870,
4536,26088,14358,2062,3125,472,
-1628,7570,16096,1448,-1457,-2924,
-2870,-5152,18302,343,-889,-689,
-970,-1888,17006,-295,41,751,
288,1234,16222,-64,-137,174,
178,-578,15616,-94,-551,-515,
96,-3582,18400,10,-210,-582,
8,-3244,17156,251,340,-94,
432,-88,17182,47,594,-230,
-1076,-648,15492,94,599,-587,
-832,-2204,16710,253,12,-461,
-144,-1896,18222,-75,71,-160,

1704,-468,16916,183,42,95,
1112,-758,15882,-24,319,33,
796,-3620,16456,-365,394,-9,
706,-8392,20614,-680,357,701,
-2218,-22940,12178,-3966,2403,2103,
1210,-27572,6836,1142,-1817,4068,
6236,-3546,11264,2035,-2552,3461,
1156,11202,17684,718,-370,367,
3708,22612,21978,406,12,-124,
8098,18618,25640,1090,885,-941,
-100,6416,12838,698,760,-3070,
-2836,-5970,17130,717,-2069,-1683,
8,-3320,19842,-112,410,775,
1288,3088,14530,-308,664,552,
1240,156,15780,-235,-228,-355,
-218,-2264,16758,-342,208,13,
362,-862,17494,-240,354,313,
366,-50,16510,96,357,54,
282,-98,16608,-46,104,-20,
510,-732,16774,-153,18,-205,

1142,-372,15014,-329,-552,225,
2004,286,18308,-279,-329,-19,
1526,-298,16750,39,264,-137,
4180,-14970,19546,-3798,258,885,
5858,-28962,1810,-4381,-293,1478,
6450,-10844,12646,1137,-1611,5064,
1896,13632,20970,615,1401,728,
-1860,23816,32767,1831,2348,-1656,
-368,13472,16960,2578,3372,-1513,
-636,6854,14992,986,-636,-1455,
-2074,-3468,16232,402,-552,-1093,
-2604,-2994,16710,-359,154,-149,
-1286,-210,16648,52,-274,135,
-126,-1154,17202,-87,-452,-103,
168,-2074,18532,172,-278,-133,
-384,-2862,17994,45,191,13,
-1108,-128,14646,141,261,-306,
-1100,-1116,16882,40,-510,-462,
-1112,-1046,16210,-60,34,-179,
-712,-768,16766,-182,-106,-106,

266,-1248,16286,77,-42,-114,
290,-2468,16978,-38,249,-97,
1054,-3938,16352,45,198,99,
-238,-9366,20274,601,432,727,
-898,-14380,16326,-1796,734,470,
5358,-26258,17006,2004,-2238,1036,
2994,-7804,10844,538,180,2099,
2082,7280,15190,-412,-345,1249,
-1480,14040,16870,-918,727,577,
3904,20430,24236,-435,3409,692,
-3938,11564,6502,838,818,-1750,
-3360,-182,19858,696,-2393,-1655,
-1052,-4050,21398,321,237,561,
-1490,40,13620,-232,859,935,
-478,2198,16638,-29,143,-98,
-818,-2558,18282,-61,-22,-67,
-1996,-388,13836,-173,272,-545,
-2286,-3104,18794,-93,-302,-119,
-2268,-1870,16390,-397,260,227,
-768,-832,17534,30,-11,237,

840,-514,16644,-211,328,270,
974,-2400,17058,173,129,15,
1368,-4708,18246,490,434,433,
1188,-8978,19834,1284,2403,1318,
1106,-8394,13392,-775,2313,-24,
-56,-25462,10988,-487,-2094,991,
34,-6396,17526,-517,-1301,1829,
-2646,5774,13642,-2321,-1476,1619,
-1366,16568,24076,-1886,893,1273,
9660,14284,28448,-447,4953,4091,
