292,1114,16370,138,-836,607,
808,1092,17156,-1,-754,770,
1858,768,16328,-379,876,30,
-7906,4942,6908,-1128,362,-558,
2104,2802,18980,-783,-389,360,
1438,130,19308,-211,-22,-168,
1246,1956,18022,81,327,-660,
250,934,16848,382,408,-778,
-850,198,16210,115,363,-663,
-1400,-120,15720,-76,258,-369,
-676,1036,15904,-80,160,55,
-8,1858,16118,-309,-133,112,
266,1150,16584,-267,-176,-48,
-1688,2418,15148,-319,-196,-381,
-13312,682,8134,-64,-1872,-1138,
-11394,-10392,21578,-567,-4542,4218,
14328,-1122,32767,-480,-299,6704,
25398,5290,32767,2738,3196,2004,
22370,312,17324,5370,4001,-1464,
17784,876,5464,5598,2581,-4887,

25398,5290,32767,2738,3196,2004,
22370,312,17324,5370,4001,-1464,
17784,876,5464,5598,2581,-4887,
-12522,-8806,1072,-2924,-7387,-3187,
-12040,-12026,22230,-5263,-7497,956,
-6536,-8336,32767,-3976,-2004,4292,
4048,-3876,32742,-4524,2644,6275,
11966,2784,31766,154,1563,4451,
15244,3342,20644,937,5122,2792,
10398,-6720,5996,986,1852,1669,
5348,3684,16106,817,-778,-36,
766,-1414,14904,745,-249,-125,
174,448,18192,-241,17,-437,
-300,-670,17478,-135,-389,-333,
-182,-2,18658,50,190,-213,
-166,230,16276,106,208,-228,
-356,-458,15980,-16,-133,-84,
-298,-172,16082,-243,-161,12,
-60,-658,16442,-322,-325,-46,
522,-110,17326,-244,-233,16,

418,-534,17116,-46,-46,-37,
330,-338,16468,-94,31,-91,
-3078,474,12318,-11,-312,-402,
-11900,-5244,2994,305,-4001,-36,
-7396,-9628,30296,-494,-4251,4681,
18462,-1924,32767,-2024,2736,6689,
22442,-2834,32767,3886,4095,3036,
17140,842,10872,8055,710,-1529,
15362,-1434,8226,5121,1042,-4458,
10768,-2474,1162,6258,352,-5877,
1802,-7158,-6748,3204,-1574,-5794,
-9022,-5332,-10282,-733,-4867,-4388,
-15328,-10158,5702,-5343,-7667,-1884,
-11814,-11990,30880,-6197,-4909,2939,
-3268,-6940,32767,-5218,86,6037,
6422,-1196,30524,-1448,-230,5309,
12920,4346,26134,-192,2273,3293,
9934,-1980,20868,434,3306,1569,
7946,-7822,10226,851,-48,767,
3982,1908,18312,351,149,-557,

810,-1844,16994,-32,-30,7,
1406,-1184,15858,-191,-59,119,
-418,-226,13156,-6,-1061,260,
-10390,-544,7430,-925,-1519,-855,
-10786,-20372,32767,-1291,-4277,5079,
15260,-9724,32767,988,-236,6633,
24486,104,29458,4883,3053,1968,
19876,-1262,16786,7846,1889,-2679,
17052,-3436,-488,6243,1283,-6005,
8722,-6256,-3738,6176,-1003,-6830,
-58,-8136,-7688,1647,-2376,-6554,
-10736,-8346,-2392,-1909,-4692,-5193,
-17308,-12768,11080,-5451,-6061,-1994,
-12632,-13470,30002,-5628,-4671,3296,
1026,-6240,32767,-4173,-336,6165,
10652,3820,32767,-2343,1243,6132,
11834,746,27300,-410,4008,4043,
6676,454,17678,2147,2189,1340,
6622,-6056,15722,1030,-21,816,
1952,470,14064,800,490,-168,

6676,454,17678,2147,2189,1340,
6622,-6056,15722,1030,-21,816,
1952,470,14064,800,490,-168,
18092,-780,32767,1192,3236,5534,
20844,746,17182,6625,243,1601,
19140,622,11394,5147,786,-3642,
18020,972,8990,5675,124,-6043,
11566,-6694,-1724,3814,1017,-7500,
1484,-7968,-3320,1403,-935,-6410,
-9430,-5526,-4654,-1942,-2920,-5390,
-18302,-12758,5908,-4481,-6520,-2478,
-13794,-13638,28494,-4758,-6048,2559,
-1238,-5126,32767,-4260,-584,5867,
8466,718,28216,-1692,-113,6070,
12870,1240,25970,-1291,2138,4842,
10494,372,20624,860,186,1830,
3644,1822,14300,717,930,215,
5918,296,19892,-88,241,332,
2090,-4168,13900,292,284,-498,
1136,-1636,16382,-80,-256,-375,

280,-2872,17096,50,52,-175,
1014,-2264,15756,118,183,-189,
-422,-1394,13340,25,-226,-342,
-5440,-3578,10260,-388,-959,-251,
-15018,-13742,18144,-1062,-4520,733,
13162,-14506,32767,-1082,-1134,9093,
19392,-1898,29282,2927,1352,4239,
19018,-1272,22016,6309,608,834,
19372,-2262,15116,6359,4584,-2941,
15566,-2236,1640,7947,1453,-5026,
9294,-1978,-2490,6091,290,-7010,
-2808,-6090,-9496,2440,-2981,-6934,
-12672,-6966,-3936,-2365,-6143,-5401,
-16668,-15658,12342,-5705,-7825,-1746,
-11770,-14172,32008,-5518,-5393,3647,
-14,-8060,32767,-4123,-815,7533,
14128,-202,32767,-2875,1749,7461,
12538,-3812,18980,647,3829,3605,
10420,-1818,18488,813,582,1765,
5738,-1758,12076,400,695,224,

-36,-2778,15108,21,-123,-445,
-1502,-2178,14674,-12,-205,-438,
-2380,4,12688,256,554,-600,
-9296,-6164,4862,-885,-2865,205,
-6448,-20610,32767,-1636,-5511,3645,
13604,-6326,32767,1487,322,6381,
20424,-1494,24794,4269,2196,3495,
19682,-4264,23574,5838,3495,483,
17160,-4190,11054,4014,4344,-1491,
13478,-994,2658,7670,1837,-4744,
4580,-6688,-12002,6571,-1601,-7029,
-4952,-4634,-5452,1634,-5037,-5972,
-14764,-9048,-2234,-2916,-7046,-5004,
-14386,-10158,23334,-4968,-6452,-526,
-7202,-6952,29780,-4638,-2739,2606,
-2460,-4386,31566,-3296,-404,4230,
4872,-980,26366,-1597,-357,4188,
10558,974,26800,-698,1591,4315,
9746,-338,18708,-48,3179,2388,
5760,230,15776,495,1015,976,

172,-2626,16770,509,-54,-55,
486,-1728,16622,151,66,-11,
-280,-432,14054,696,-288,-303,
-3928,-80,7362,2750,-3055,-1767,
-11052,-9708,18568,586,-4424,1092,
6314,-6678,32767,-2206,1300,7487,
17624,216,32767,2498,3420,5071,
17754,3086,14122,8221,46,1005,
17670,2348,12808,5530,1052,-2264,
15602,1170,4226,5398,-609,-4185,
9886,-3322,1394,3113,-1127,-6772,
-896,-7082,-3006,711,-2341,-6697,
-10636,-6464,-1746,-3100,-3825,-5105,
-20264,-16048,4526,-4794,-6764,-2595,
-6458,-8800,32767,-6443,-4728,4487,
914,2524,32767,-5244,1913,4484,
5830,-1154,30200,-1828,1314,5045,
8778,1488,26430,630,497,2722,
7832,1442,17346,660,1158,1987,
5688,-224,16610,752,388,869,

546,-858,16456,-7,43,-253,
822,-560,16288,-110,185,-136,
496,-584,13830,485,-382,-153,
-5502,-804,10654,-662,-1005,-735,
