150,864,16510,-49,-43,-66,
-68,564,16492,-52,-132,-108,
-514,1350,16130,76,-95,-46,
-3682,11912,16352,82,-1005,213,
-2226,23348,25652,2171,-1277,142,
228,19598,13094,1995,941,-1567,
9942,-8580,12022,2488,1399,-2388,
3698,-17274,14118,-4697,2374,-4195,
-2358,-15516,12910,-2853,-4002,239,
4224,-1364,24922,117,-3120,1698,
3520,-1004,17336,23,137,363,
1816,-1158,18632,-392,202,292,
1766,356,17182,193,427,280,
2086,78,16604,398,155,72,
1654,384,16608,267,67,-18,
1208,506,16842,179,115,-68,
702,-190,16728,-84,297,38,
1000,-212,16338,45,-80,140,
1180,914,16182,337,-71,168,
1106,410,15990,97,109,128,

90,-506,16668,20,38,-34,
90,-238,16736,-4,70,25,
-126,1130,16698,25,112,225,
240,5810,17034,-97,-158,787,
266,14340,16218,1829,-1743,1026,
-92,15716,20662,1957,-2275,437,
-256,14996,19128,4472,-773,497,
5004,858,12486,3044,2362,-1090,
7948,-4630,15984,-1898,1015,-4991,
-2812,-28034,14654,-5231,2629,-3783,
430,-3180,16978,-319,-4660,1394,
5224,2810,20682,-314,-692,285,
298,-242,17802,-302,-245,-342,
1026,1676,18486,-3,337,200,
1192,1354,15204,54,-58,325,
1826,2122,17264,106,-102,277,
1378,1868,15358,-459,194,10,
674,1226,16612,-290,-21,83,
1266,306,16342,-380,-48,496,
2152,2060,17008,-267,-142,332,

-976,-34,16704,1,71,-1,
-506,492,16826,-64,69,132,
-1286,2724,15592,-264,88,383,
-1186,6178,17118,-437,-533,651,
274,10052,18718,-441,-794,929,
-470,19172,21760,530,-1657,33,
-1430,16338,16216,1434,-765,-1510,
4826,-8448,12422,4863,2519,-3045,
1866,-21650,8696,-5051,4078,-5426,
-3978,-22794,12740,-1812,-3734,-300,
8692,2030,25170,643,-2911,1374,
4256,-2456,16122,52,186,-200,
618,-1840,15304,-501,-878,-306,
1388,-1126,19992,46,-372,-96,
1586,-1218,17668,257,591,102,
1598,-168,16860,194,60,-71,
472,-1152,16084,89,392,-170,
550,-1364,16260,139,6,191,
1388,-138,17098,12,-51,156,
1232,-32,16490,74,84,41,

-1756,1218,16540,-65,94,21,
-2256,2416,15862,-253,47,76,
-2702,1918,16800,-237,-226,125,
-4798,6668,16490,-395,-528,836,
-1432,17358,24028,1312,-2892,1922,
-1868,25234,16868,3127,-886,-281,
2292,11358,9148,3088,-1201,-1160,
9948,-13292,12774,1196,804,-2831,
6804,-22404,13890,-8688,1697,-4476,
-1732,-26524,15600,-4256,-2545,-641,
4432,-188,25836,645,-1334,936,
2026,-4568,17264,-75,624,-408,
-218,-2896,17490,-177,710,102,
206,-2054,16242,153,33,162,
606,-1378,17732,287,-270,124,
738,-1204,17430,122,94,49,
106,-1396,15990,116,442,-37,
-336,-2266,15106,-14,-103,54,
760,-1918,16834,-102,-136,323,
1298,-602,16086,-160,135,-144,

-2222,-3392,16564,18,46,-94,
-2054,-2566,16354,-24,70,16,
-4476,656,15856,-678,-222,242,
-5606,6300,18886,-1242,-2264,324,
-814,8378,21912,-835,-1945,1097,
1294,14390,20444,-1426,-1517,652,
4072,10616,13766,-568,-567,-3243,
8948,-20510,14624,3539,2340,-3826,
1554,-29814,-2960,-5350,6381,-2899,
-4736,-16946,8854,-662,-6232,153,
5416,-9840,29658,1908,-1302,1567,
4120,-3860,14296,1186,2082,736,
1248,-4864,13608,444,-740,-614,
526,-5560,17696,-19,-171,-619,
580,-5096,17904,460,-325,-230,
552,-4116,17032,485,422,-354,
-814,-4588,14284,413,123,-395,
-168,-5110,15702,66,-82,112,
774,-3422,16502,63,-204,-15,
364,-3598,16040,89,86,-83,

-10,290,15932,168,146,115,
-350,320,16158,-126,28,77,
-458,996,16876,-476,-54,273,
2458,8718,21700,-156,-699,1020,
1634,19456,20674,1828,-2355,-735,
-1476,22610,18266,3445,-1587,-2224,
888,12012,-298,256,816,-3775,
11556,-16106,12774,-3570,1355,-2866,
3256,-25228,18926,-6727,5178,-5293,
