422,358,16756,-313,359,-234,
636,6,15778,-379,52,585,
2696,-146,16222,-289,-289,751,
11590,-82,18908,-677,-962,1078,
20646,5274,19812,69,40,-1310,
19424,2642,13004,996,-461,-4497,
3752,-5112,13828,1536,-1902,-5996,
-25562,-17252,25516,-1439,3177,-1457,
-21716,402,10594,-891,10,-326,
-5834,504,21312,66,103,166,
-1374,1408,14228,652,1777,-457,
-1044,-282,14910,363,155,-437,
-1682,986,16770,185,279,-503,
-2148,702,15160,-86,-61,-420,
-2014,-848,16106,-292,-329,88,
-32,2528,17796,-382,-692,624,
-2,566,15928,159,-323,-475,
118,1304,17906,183,-357,189,
-420,146,15402,36,-451,-56,
466,296,16904,-252,-329,334,

-1854,-2392,17066,172,-216,-1,
-1974,-1880,16322,127,156,-49,
-2178,-2390,15798,-105,-176,51,
10560,-1906,19758,-201,144,-405,
14414,-2050,18882,-19,912,-1316,
11758,2724,17022,-373,514,-1346,
3320,-5356,19962,1496,5,-6257,
-14326,-15654,18776,3023,-6196,-5479,
-20806,-6680,24758,-121,514,-543,
-8974,58,14002,532,665,640,
-1302,76,14860,438,-105,243,
642,1026,16376,21,357,100,
-78,-872,16390,109,-41,-172,
476,-44,17296,-60,-28,31,
58,-1426,16472,156,-100,34,
664,-642,16954,-122,-115,236,
754,-160,17852,69,128,-35,
254,-244,16682,75,199,-143,
-18,-778,16946,101,92,-82,
8,-610,16220,36,-52,1,

-894,-3314,16634,-22,48,8,
-438,-3028,16562,62,60,47,
230,-4768,15468,239,-81,191,
5550,-12214,16924,1520,-1671,2562,
15420,244,20438,2788,-137,1122,
17858,6358,20618,2508,-378,-1599,
13332,2354,15682,1291,-964,-5164,
520,-4320,13830,613,-415,-6882,
-20200,-12202,11992,-611,1199,-5703,
-19030,-5988,22766,-1261,-1963,-564,
-8832,-2160,16152,-1093,268,12,
-2300,-900,15896,232,-753,576,
520,884,16136,297,275,220,
92,506,16816,566,-373,101,
162,74,17890,196,118,178,
-206,-240,15552,95,50,215,
638,344,17292,56,-131,133,
1014,1726,17618,204,18,5,
422,716,16420,191,63,-507,
378,1076,16452,-25,1,-48,

-538,-1866,16886,166,-42,-48,
66,-398,16300,63,18,249,
2092,-2432,15886,249,-82,315,
9466,2178,19984,116,-169,-194,
19070,2202,21996,674,-193,-2459,
21260,5390,13198,1901,-379,-5249,
7852,578,11992,1965,-1748,-6826,
-18786,-21406,19586,-445,-147,-4831,
-21320,-8978,18072,-1367,667,581,
-9474,-2764,16050,-599,-676,902,
506,1508,18932,53,78,1064,
1256,-104,15888,-266,415,192,
986,640,16194,-38,464,390,
278,-730,16920,501,-103,-5,
88,1842,15424,604,94,-8,
630,2294,17034,-60,-409,208,
1810,2456,16984,-18,-274,-114,
